,Demanda,Fecha,Dia,Hora,Mes,PC1_TMAX,PC2_TMAX,PC1_TMIN,PC2_TMIN,PC1_PREC,PC2_PREC
0,-0.29059040590405893,2021-12-04 12:00:00,0.6666666666666665,0.04347826086956519,0.9999999999999998,-0.26112933567692626,-0.0732373216692783,-0.12428369198338876,3.667581879804444,-1.0098298574135482,-0.28715626776585557
1,-0.2762915129151291,2021-12-04 13:00:00,0.6666666666666665,0.13043478260869557,0.9999999999999998,-0.2611293356769268,-0.0732373216692781,-0.12428369198338783,3.667581879804448,-1.009829857413548,-0.2871562677658557
2,-0.25415129151291516,2021-12-04 14:00:00,0.6666666666666665,0.21739130434782616,0.9999999999999998,-0.2611293356769265,-0.0732373216692777,-0.12428369198338743,3.6675818798044495,-1.009829857413548,-0.2871562677658557
3,-0.2559963099630995,2021-12-04 15:00:00,0.6666666666666665,0.30434782608695654,0.9999999999999998,-0.26112933567692687,-0.0732373216692782,-0.12428369198338739,3.6675818798044495,-1.009829857413548,-0.2871562677658557
4,-0.25415129151291516,2021-12-04 16:00:00,0.6666666666666665,0.3913043478260869,0.9999999999999998,-0.2611293356769267,-0.0732373216692781,-0.12428369198338732,3.66758187980445,-1.009829857413548,-0.2871562677658557
5,-0.25507380073800734,2021-12-04 17:00:00,0.6666666666666665,0.4782608695652173,0.9999999999999998,-0.2611293356769267,-0.0732373216692781,-0.12428369198338736,3.66758187980445,-1.009829857413548,-0.2871562677658557
6,-0.23523985239852396,2021-12-04 18:00:00,0.6666666666666665,0.5652173913043477,0.9999999999999998,-0.2611293356769267,-0.0732373216692781,-0.12428369198338736,3.66758187980445,-1.009829857413548,-0.2871562677658557
7,-0.2214022140221401,2021-12-04 19:00:00,0.6666666666666665,0.6521739130434783,0.9999999999999998,-0.2611293356769267,-0.0732373216692781,-0.12428369198338736,3.66758187980445,-1.009829857413548,-0.2871562677658557
8,-0.24723247232472323,2021-12-04 20:00:00,0.6666666666666665,0.7391304347826086,0.9999999999999998,-0.2611293356769267,-0.0732373216692781,-0.12428369198338736,3.66758187980445,-1.009829857413548,-0.2871562677658557
9,-0.2744464944649445,2021-12-04 21:00:00,0.6666666666666665,0.826086956521739,0.9999999999999998,-0.2611293356769267,-0.0732373216692781,-0.12428369198338736,3.66758187980445,-1.009829857413548,-0.2871562677658557
10,-0.301660516605166,2021-12-04 22:00:00,0.6666666666666665,0.9130434782608696,0.9999999999999998,-0.2611293356769267,-0.0732373216692781,-0.12428369198338736,3.66758187980445,-1.009829857413548,-0.2871562677658557
11,-0.3404059040590406,2021-12-04 23:00:00,0.6666666666666665,1.0,0.9999999999999998,-0.2611293356769267,-0.0732373216692781,-0.12428369198338736,3.66758187980445,-1.009829857413548,-0.2871562677658557
12,-0.375,2021-12-05 00:00:00,1.0,-1.0,0.9999999999999998,0.03520396083144567,2.275373536358111,-0.3291437289853283,1.0966879996861427,-1.009829857413548,-0.2871562677658557
13,-0.4077490774907748,2021-12-05 01:00:00,1.0,-0.9130434782608696,0.9999999999999998,0.03520396083144567,2.275373536358111,-0.3291437289853283,1.0966879996861427,-1.009829857413548,-0.2871562677658557
14,-0.43496309963099633,2021-12-05 02:00:00,1.0,-0.8260869565217391,0.9999999999999998,0.03520396083144567,2.275373536358111,-0.3291437289853283,1.0966879996861427,-1.009829857413548,-0.2871562677658557
15,-0.45848708487084866,2021-12-05 03:00:00,1.0,-0.7391304347826086,0.9999999999999998,0.03520396083144567,2.275373536358111,-0.3291437289853283,1.0966879996861427,-1.009829857413548,-0.2871562677658557
16,-0.4829335793357933,2021-12-05 04:00:00,1.0,-0.6521739130434783,0.9999999999999998,0.03520396083144567,2.275373536358111,-0.3291437289853283,1.0966879996861427,-1.009829857413548,-0.2871562677658557
17,-0.492619926199262,2021-12-05 05:00:00,1.0,-0.5652173913043479,0.9999999999999998,0.03520396083144567,2.275373536358111,-0.3291437289853283,1.0966879996861427,-1.009829857413548,-0.2871562677658557
18,-0.503690036900369,2021-12-05 06:00:00,1.0,-0.4782608695652174,0.9999999999999998,0.03520396083144567,2.275373536358111,-0.3291437289853283,1.0966879996861427,-1.009829857413548,-0.2871562677658557
19,-0.5087638376383763,2021-12-05 07:00:00,1.0,-0.3913043478260869,0.9999999999999998,0.03520396083144567,2.275373536358111,-0.3291437289853283,1.0966879996861427,-1.009829857413548,-0.2871562677658557
20,-0.5133763837638375,2021-12-05 08:00:00,1.0,-0.30434782608695654,0.9999999999999998,0.03520396083144567,2.275373536358111,-0.3291437289853283,1.0966879996861427,-1.009829857413548,-0.2871562677658557
21,-0.4797047970479704,2021-12-05 09:00:00,1.0,-0.21739130434782616,0.9999999999999998,0.03520396083144567,2.275373536358111,-0.3291437289853283,1.0966879996861427,-1.009829857413548,-0.2871562677658557
22,-0.4488007380073801,2021-12-05 10:00:00,1.0,-0.13043478260869568,0.9999999999999998,0.03520396083144567,2.275373536358111,-0.3291437289853283,1.0966879996861427,-1.009829857413548,-0.2871562677658557
23,-0.43957564575645747,2021-12-05 11:00:00,1.0,-0.04347826086956519,0.9999999999999998,0.03520396083144567,2.275373536358111,-0.3291437289853283,1.0966879996861427,-1.009829857413548,-0.2871562677658557
24,-0.42527675276752763,2021-12-05 12:00:00,1.0,0.04347826086956519,0.9999999999999998,0.03520396083144567,2.275373536358111,-0.3291437289853283,1.0966879996861427,-1.009829857413548,-0.2871562677658557
