,FECHA-HORA,MAPE,R2
0,2022-01-09 23:00:00,1.7000328281782582,0.9785429354380669
1,2022-01-10 23:00:00,0.9992681569384763,0.993672944051837
2,2022-01-11 23:00:00,1.109277206592084,0.9873425759316821
3,2022-01-12 23:00:00,1.7213288085044793,0.9809222805902752
4,2022-01-13 23:00:00,1.7002902000061924,0.9845088075141789
5,2022-01-14 23:00:00,1.6871469422604923,0.9813927837325006
6,2022-01-15 23:00:00,0.8723094265853428,0.9870043617380145
7,2022-01-16 23:00:00,1.2827870551680114,0.9850757719467673
8,2022-01-17 23:00:00,1.3421879869334816,0.9915568854494428
9,2022-01-18 23:00:00,1.6422491427338575,0.9870155827173763
10,2022-01-19 23:00:00,1.0566504059874395,0.9967104346694609
11,2022-01-20 23:00:00,0.7016382627325936,0.9959996167767532
12,2022-01-21 23:00:00,1.5188611463441577,0.9954343394451405
13,2022-01-22 23:00:00,1.0502747426724537,0.9908987512363218
14,2022-01-23 23:00:00,0.8333780409072276,0.9892136249029149
15,2022-01-24 23:00:00,0.947879818213976,0.996203196603
16,2022-01-25 23:00:00,0.9880011710989145,0.9879031449275814
17,2022-01-26 23:00:00,1.1208888646215407,0.9905205410580287
18,2022-01-27 23:00:00,0.7670151805116197,0.9939541333771329
19,2022-01-28 23:00:00,2.1890387512487415,0.9943589270305704
20,2022-01-29 23:00:00,0.5437066991172158,0.994298513223842
21,2022-01-30 23:00:00,0.8230542359312526,0.9855843442110619
22,2022-01-31 23:00:00,0.7400965278394446,0.9969552616526767
23,2022-02-01 23:00:00,0.6203852845263595,0.9954968132916209
24,2022-02-02 23:00:00,1.5881426430286383,0.9927424953735093
25,2022-02-03 23:00:00,1.6024822665095337,0.9817221202125531
26,2022-02-04 23:00:00,2.2839686407088684,0.9958783169719273
27,2022-02-05 23:00:00,2.0749352532174665,0.9942487622136018
28,2022-02-06 23:00:00,1.6393555601558294,0.9633962583457867
29,2022-02-07 23:00:00,0.8055729174998469,0.9935441604687544
30,2022-02-08 23:00:00,0.6670240383597286,0.9953983269156503
31,2022-02-09 23:00:00,1.6530781888672308,0.9937559361466373
32,2022-02-10 23:00:00,1.0995646249635207,0.9903952718731377
33,2022-02-11 23:00:00,1.8481514734415516,0.9964277557346404
34,2022-02-12 23:00:00,1.5648918806789136,0.9912273537248737
35,2022-02-13 23:00:00,2.540521515963352,0.9548555908301273
36,2022-02-14 23:00:00,1.0217025504981367,0.9971478908722609
37,2022-02-15 23:00:00,1.7227188853730546,0.9908127770890469
38,2022-02-16 23:00:00,1.0324557150462086,0.9893354372166915
39,2022-02-17 23:00:00,2.458473087441833,0.986602097430635
40,2022-02-18 23:00:00,1.5688026480325252,0.9962831190727816
41,2022-02-19 23:00:00,0.9972184945343804,0.991516070131633
42,2022-02-20 23:00:00,1.8849939361093933,0.9407768065133434
43,2022-02-21 23:00:00,0.9237857422140462,0.9956975308832999
44,2022-02-22 23:00:00,3.986351738913932,0.9871331574548844
45,2022-02-23 23:00:00,2.3301384542925296,0.9947532569726985
46,2022-02-24 23:00:00,1.3715669969623008,0.9855686067841984
47,2022-02-25 23:00:00,1.3383541570774644,0.995385505025963
48,2022-02-26 23:00:00,0.836923612724424,0.983695151944758
49,2022-02-27 23:00:00,2.564448541541522,0.947854387955856
50,2022-02-28 23:00:00,1.3197512066414003,0.9957373226395023
51,2022-03-01 23:00:00,0.7490479411952904,0.9957108272757396
52,2022-03-02 23:00:00,2.057036442943729,0.9949069910750674
53,2022-03-03 23:00:00,0.7228381424537459,0.9957984210049062
54,2022-03-04 23:00:00,0.970082268957397,0.990326782642275
55,2022-03-05 23:00:00,0.7419146011467362,0.9935148019924827
56,2022-03-06 23:00:00,1.3020373262326892,0.9698184401580316
57,2022-03-07 23:00:00,1.9353231257417551,0.9800235149346418
58,2022-03-08 23:00:00,1.741234011072223,0.9821811580137542
59,2022-03-09 23:00:00,1.4462021124835225,0.9728078277727003
60,2022-03-10 23:00:00,1.5412793751286564,0.9781558882337318
