,fecha_hora,real,estimado,mape,r2
48,2021-05-05 23:00:00,3243,3259.6853529045825,3.0975519935643003,0.9804509354539845
49,2021-05-06 23:00:00,3298,3356.1366854540884,2.7807367166374117,0.9944229748432731
50,2021-05-07 23:00:00,3264,3400.234358080685,3.547059272813195,0.9952118077965522
51,2021-05-08 23:00:00,3195,3168.085028428364,4.467476276796942,0.9367539675242665
52,2021-05-09 23:00:00,3250,3054.101528368463,2.399490364233102,0.9473526097095859
53,2021-05-10 23:00:00,3362,3358.6380218156933,6.389103536739377,0.9365895689097149
54,2021-05-11 23:00:00,3733,3729.304735369421,2.3499937577505774,0.9771083269243006
55,2021-05-12 23:00:00,3928,3948.801190806514,3.801702660889509,0.997534356822557
56,2021-05-13 23:00:00,4096,4106.714066674883,3.620880124525363,0.9964149341956029
57,2021-05-14 23:00:00,4107,4244.914310228008,2.30474985325765,0.9918691654862004
58,2021-05-15 23:00:00,3748,4216.61461933179,5.320075721005919,0.8896075295921522
59,2021-05-16 23:00:00,3632,3355.239895143692,5.7710333337112285,0.7977170066780355
60,2021-05-17 23:00:00,3754,3561.480897634966,6.928776664046541,0.9224153595879829
61,2021-05-18 23:00:00,3739,3790.786547545912,3.302739565326224,0.9924266974820993
62,2021-05-19 23:00:00,3861,3732.5360378452433,1.5256920099707922,0.9950867565648942
63,2021-05-20 23:00:00,3931,3943.014455337101,0.7204306279529383,0.9995478879279417
64,2021-05-21 23:00:00,3761,3986.391606339177,2.640589936296789,0.9794859764958177
65,2021-05-22 23:00:00,3524,3651.888490024845,1.1502152576602511,0.9928503040947128
66,2021-05-23 23:00:00,3567,3304.0695534117644,2.7404763328016934,0.9699543843084109
67,2021-05-24 23:00:00,3845,3635.942233174073,4.323658194585542,0.9666224088679264
68,2021-05-25 23:00:00,3895,3957.6241253063727,3.7624410399054704,0.9991345032444585
69,2021-05-26 23:00:00,3945,3974.991565403968,1.5063177262588332,0.9983702981580865
70,2021-05-27 23:00:00,4008,4003.4611223583433,2.0195802331139032,0.9987240491113752
71,2021-05-28 23:00:00,3932,4042.721334882628,1.464867088833483,0.9958674345831701
72,2021-05-29 23:00:00,3770,3952.9468317691462,2.3863315341495785,0.9844067259766175
73,2021-05-30 23:00:00,3761,3661.315390374332,3.400383179948379,0.9500462485339234
74,2021-05-31 23:00:00,4059,3774.743291516309,6.154038264356685,0.9527735763002904
75,2021-06-01 23:00:00,4123,4159.403120380388,3.0705667129303347,0.9991727613391272
76,2021-06-02 23:00:00,4169,4215.045965827598,1.0771597480185464,0.9975370785144702
77,2021-06-03 23:00:00,4230,4277.513984361312,0.7774426031808654,0.9979640152726739
78,2021-06-04 23:00:00,4280,4292.938280000754,0.9558149476055584,0.9988094468982778
79,2021-06-05 23:00:00,4156,4288.30027581372,1.5272534524205719,0.9899603617182722
80,2021-06-06 23:00:00,4184,4114.48586808079,2.705547639955112,0.9629421906389617
81,2021-06-07 23:00:00,4437,4197.220625888963,4.451879443250677,0.9410832337023232
82,2021-06-08 23:00:00,4509,4481.416305421406,2.2623968317068743,0.9982924046905591
83,2021-06-09 23:00:00,4636,4600.641912916342,1.6727206781885982,0.9956244304591519
84,2021-06-10 23:00:00,4650,4801.772129845654,1.9856783995754592,0.9977399338614185
85,2021-06-11 23:00:00,4593,4720.881442349993,0.9640345526901921,0.9963891862846929
86,2021-06-12 23:00:00,4392,4643.3549089020535,2.7876410724839653,0.9753100902753249
87,2021-06-13 23:00:00,4451,4352.562868838276,3.3569458050735577,0.9419964893861686
88,2021-06-14 23:00:00,4727,4502.69926285596,4.0477003732103025,0.9557607189874526
89,2021-06-15 23:00:00,4836,4818.3814706639305,1.183096628361174,0.9976293600080267
90,2021-06-16 23:00:00,4988,4807.2491618502645,2.542294955001509,0.9865936648259362
91,2021-06-17 23:00:00,5010,4516.655857439384,4.697349112982253,0.9177342611469917
92,2021-06-18 23:00:00,4730,5077.265917867698,1.96521265158779,0.9588399871570168
93,2021-06-19 23:00:00,4634,4683.260459482261,1.5053611228862622,0.9866302380164633
94,2021-06-20 23:00:00,4277,4564.607187334484,7.388554081958436,0.6917831937125565
95,2021-06-21 23:00:00,4601,4575.471496752477,1.623686647591362,0.9904676836374016
96,2021-06-22 23:00:00,4544,4598.078769206835,2.0829007069113796,0.9960386856721435
97,2021-06-23 23:00:00,4561,4209.816113947782,7.338688203793716,0.5197048196582437
98,2021-06-24 23:00:00,4591,4660.120114175287,6.404073777109619,0.9451863374771008
99,2021-06-25 23:00:00,4557,4626.32982234032,1.1321908241700755,0.9955292932759627
100,2021-06-26 23:00:00,4496,4551.921694587712,2.2552739235373624,0.9753314590798969
101,2021-06-27 23:00:00,4546,4498.019621743412,1.477762532956782,0.9850644283277119
102,2021-06-28 23:00:00,4489,4476.91497168256,2.2898057555302884,0.9716811372059679
103,2021-06-29 23:00:00,4051,4423.161611316602,5.711867731778138,0.9469267621743533
104,2021-06-30 23:00:00,4119,4105.04908349654,4.428730621956269,0.9367020750709001
105,2021-07-01 23:00:00,4346,4185.245108234031,2.7116030068775987,0.994276630800357
106,2021-07-02 23:00:00,4432,4164.501393753367,3.6600026999348856,0.9752770457198545
107,2021-07-03 23:00:00,3999,3916.6075621460377,3.10564821618305,0.9343952482062616
108,2021-07-04 23:00:00,4118,4039.788580477992,5.227585276436387,0.8858007976913587
109,2021-07-05 23:00:00,4492,4152.839166514564,5.701025805431208,0.9481219653720506
110,2021-07-06 23:00:00,4524,4343.347497578872,4.318667121949995,0.9912974582559521
111,2021-07-07 23:00:00,4338,4321.484549203942,2.506108952077461,0.9898508983686436
112,2021-07-08 23:00:00,4560,4403.822157324083,1.6510492483803916,0.9842099571385339
113,2021-07-09 23:00:00,4631,4347.592628406649,4.444574683462519,0.9889672600326379
114,2021-07-10 23:00:00,4466,4611.264364430436,2.863361222391094,0.9216545841057904
115,2021-07-11 23:00:00,4307,4272.373174671432,5.095784396774311,0.9443849382795084
116,2021-07-12 23:00:00,4469,4215.986768531238,3.425697847194741,0.9775997918150943
117,2021-07-13 23:00:00,4542,4304.884016338908,3.920028732424071,0.9984482761061367
118,2021-07-14 23:00:00,4659,4502.640629777506,3.654193638875088,0.9920433147429522
119,2021-07-15 23:00:00,4600,3938.749360063468,8.219234131116162,0.7835026977367644
120,2021-07-16 23:00:00,4517,4145.034531486053,8.833856727510714,0.9299334531079757
121,2021-07-17 23:00:00,4452,3956.85334383846,5.457788893888335,0.9400355763150364
