,FECHA-HORA,MAPE,REAL,ESTIMADO
6257,2021-12-14 17:00:00,3.932410727743167,2488.0,2390.16162109375
6258,2021-12-14 18:00:00,4.588821222452134,2507.0,2391.958251953125
6259,2021-12-14 19:00:00,4.5407858455882355,2550.0,2434.2099609375
6260,2021-12-14 20:00:00,3.7239901005788196,2612.9999999999995,2515.692138671875
6261,2021-12-14 21:00:00,2.941941918793672,2576.0,2500.215576171875
6262,2021-12-14 22:00:00,3.2484667776134124,2535.0,2452.6513671875
6263,2021-12-14 23:00:00,4.118896878786349,2476.0,2374.01611328125
6264,2021-12-15 00:00:00,3.545115556497912,2395.0,2310.094482421875
6265,2021-12-15 01:00:00,3.3115204679354906,2302.0,2225.768798828125
6266,2021-12-15 02:00:00,3.8651605062471663,2220.9999999999995,2135.15478515625
6267,2021-12-15 03:00:00,4.335555111069278,2158.0,2064.438720703125
6268,2021-12-15 04:00:00,4.688771565755209,2112.0,2012.97314453125
6269,2021-12-15 05:00:00,4.227588360126202,2080.0,1992.066162109375
6270,2021-12-15 06:00:00,3.7826625948446497,2084.0,2005.1693115234375
6271,2021-12-15 07:00:00,2.818577419833729,2105.0,2045.6689453125
6272,2021-12-15 08:00:00,2.546643173733225,2161.0,2105.967041015625
6273,2021-12-15 09:00:00,1.7798027837319497,2216.0,2176.5595703125
6274,2021-12-15 10:00:00,3.168978972560319,2321.0,2247.447998046875
6275,2021-12-15 11:00:00,2.9800530344773297,2382.0,2311.01513671875
6276,2021-12-15 12:00:00,2.4255911049245555,2419.0,2360.324951171875
6277,2021-12-15 13:00:00,2.2832785521812426,2447.0,2391.128173828125
6278,2021-12-15 14:00:00,2.828169138418079,2478.0,2407.91796875
6279,2021-12-15 15:00:00,3.402574948933838,2509.0,2423.62939453125
6280,2021-12-15 16:00:00,3.648501063239645,2535.0,2442.510498046875
6281,2021-12-15 17:00:00,4.857932955374514,2570.0,2445.151123046875
6282,2021-12-15 18:00:00,5.669015256000774,2583.0,2436.5693359375
6283,2021-12-15 19:00:00,4.662187948994253,2610.0,2488.31689453125
6284,2021-12-15 20:00:00,3.818787821482602,2644.0,2543.03125
6285,2021-12-15 21:00:00,3.6161821159927174,2609.0,2514.65380859375
6286,2021-12-15 22:00:00,3.697874835718458,2568.0,2473.03857421875
6287,2021-12-15 23:00:00,4.308877280725839,2504.0,2396.105712890625
6288,2021-12-16 00:00:00,1.6219499586435069,2418.0,2378.78125
6289,2021-12-16 01:00:00,1.2930918213206732,2317.0,2287.0390625
6290,2021-12-16 02:00:00,0.9226729230182926,2214.0,2193.572021484375
6291,2021-12-16 03:00:00,1.4722519204519053,2152.0,2120.317138671875
6292,2021-12-16 04:00:00,1.8861023645437265,2104.0,2064.31640625
6293,2021-12-16 05:00:00,1.4784202354327853,2068.0,2037.42626953125
6294,2021-12-16 06:00:00,1.9927963878896882,2085.0,2043.4501953125
6295,2021-12-16 07:00:00,2.2880219986457844,2123.0,2074.42529296875
6296,2021-12-16 08:00:00,1.4466067394578315,2158.0,2126.7822265625
6297,2021-12-16 09:00:00,0.7393390088398102,2213.0,2196.638427734375
6298,2021-12-16 10:00:00,1.2345342221467392,2300.0,2271.605712890625
6299,2021-12-16 11:00:00,0.2530629497601279,2345.0,2339.065673828125
6300,2021-12-16 12:00:00,1.4667823613322717,2355.0,2389.542724609375
6301,2021-12-16 13:00:00,1.7647453953249896,2377.0,2418.947998046875
6302,2021-12-16 14:00:00,0.732320781573499,2415.0,2432.685546875
6303,2021-12-16 15:00:00,0.04008383327363897,2443.0,2443.979248046875
6304,2021-12-16 16:00:00,0.14465059442247075,2463.0000000000005,2459.437255859375
6305,2021-12-16 17:00:00,0.17241749059577063,2459.0,2463.23974609375
6306,2021-12-16 18:00:00,0.09625234183829527,2452.0,2454.360107421875
6307,2021-12-16 19:00:00,0.016422408947841728,2502.0,2501.589111328125
6308,2021-12-16 20:00:00,0.6376187193627451,2550.0,2566.25927734375
6309,2021-12-16 21:00:00,0.35459347783056216,2526.0,2534.95703125
6310,2021-12-16 22:00:00,0.4104583801147705,2505.0,2494.718017578125
6311,2021-12-16 23:00:00,1.1609269899103138,2453.0,2424.5224609375
6312,2021-12-17 00:00:00,0.31201880132785836,2344.0,2336.686279296875
6313,2021-12-17 01:00:00,0.9177034512516838,2227.0,2247.437255859375
6314,2021-12-17 02:00:00,0.8642214414571695,2148.0,2166.5634765625
6315,2021-12-17 03:00:00,0.1980523780742598,2094.0,2098.147216796875
6316,2021-12-17 04:00:00,0.9553685885315827,2066.0,2046.2620849609375
6317,2021-12-17 05:00:00,0.10386229503767293,2024.0,2021.8978271484375
6318,2021-12-17 06:00:00,1.2970401364811435,2055.0,2028.3458251953125
6319,2021-12-17 07:00:00,2.1099281220252264,2101.0,2056.67041015625
6320,2021-12-17 08:00:00,2.2319032178505105,2154.0,2105.9248046875
6321,2021-12-17 09:00:00,1.784826616087545,2216.0,2176.4482421875
6322,2021-12-17 10:00:00,1.2237843037905345,2282.0,2254.0732421875
6323,2021-12-17 11:00:00,0.028966727901593457,2322.0,2322.672607421875
6324,2021-12-17 12:00:00,0.869175932448958,2351.0,2371.434326171875
6325,2021-12-17 13:00:00,1.1298663304324894,2370.0,2396.77783203125
6326,2021-12-17 14:00:00,2.6205121453711606,2344.0,2405.4248046875
6327,2021-12-17 15:00:00,1.9239333758188926,2366.0,2411.520263671875
6328,2021-12-17 16:00:00,1.6043746231386324,2384.0,2422.248291015625
6329,2021-12-17 17:00:00,0.7294589048212802,2406.0,2423.55078125
6330,2021-12-17 18:00:00,0.6283317775551623,2402.0,2417.092529296875
6331,2021-12-17 19:00:00,0.5828571746540496,2457.0,2471.32080078125
6332,2021-12-17 20:00:00,0.8243525737864563,2503.0,2523.633544921875
6333,2021-12-17 21:00:00,0.5476670743578075,2472.0,2485.538330078125
6334,2021-12-17 22:00:00,0.09443495008680555,2448.0,2445.688232421875
6335,2021-12-17 23:00:00,0.6056847675813856,2396.0,2381.48779296875
6336,2021-12-18 00:00:00,1.9836819556451613,2325.0,2278.87939453125
6337,2021-12-18 01:00:00,0.40372253058450386,2207.0,2198.08984375
6338,2021-12-18 02:00:00,1.5495063311312007,2157.0,2123.5771484375
6339,2021-12-18 03:00:00,1.3882224130447798,2088.0,2059.013916015625
6340,2021-12-18 04:00:00,0.9721148372107337,2031.0,2011.25634765625
6341,2021-12-18 05:00:00,0.5829543724231634,2001.0,1989.3350830078125
6342,2021-12-18 06:00:00,0.9872360759837387,2014.0,1994.1170654296875
6343,2021-12-18 07:00:00,0.645947868441358,2025.0,2011.9195556640625
6344,2021-12-18 08:00:00,0.04473124464897261,2044.0,2044.914306640625
6345,2021-12-18 09:00:00,0.8171598913562559,2094.0,2111.111328125
6346,2021-12-18 10:00:00,0.36353648792613635,2200.0,2192.002197265625
6347,2021-12-18 11:00:00,0.6866291882519849,2244.0000000000005,2259.407958984375
6348,2021-12-18 12:00:00,1.3591677331021577,2271.0,2301.86669921875
6349,2021-12-18 13:00:00,1.0678864190551438,2294.0,2318.497314453125
6350,2021-12-18 14:00:00,0.4974749186550976,2305.0,2316.466796875
6351,2021-12-18 15:00:00,0.07390802556818182,2310.0,2308.292724609375
6352,2021-12-18 16:00:00,0.4045819716775599,2295.0,2304.28515625
